STATE,NULL,$,(,),*,+,",",-,/,;,=,ELSE,FLOAT,IDENTIFIER,IF,INT,I_CONSTANT,RETURN,VOID,WHILE,{,},FTYPE,Program,call,if语句,return语句,start_point,while语句,加法表达式,因子,声明语句,实参,实参列表,类型,表达式,语句,语句串,语句块,赋值语句,项
135,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,r28,,r28,,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,r31,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,r31,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,r35,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,r35,,r35,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,r38,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,r30,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
